D‚tails d?enregistreur :;;;;;;;;;;;;;;;;
Type d'enregistreur;1F8;;;;;;;;;;;;;;;
Num‚ro de s‚rie;KS1512003;;;;;;;;;;;;;;;
firmware du Contr“leur;5.1;;;;;;;;;;;;;;;
firmware d'acquisition;5.1;;;;;;;;;;;;;;;
Identit‚ de l?enregistreur;Identit‚ de l?enreg;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Job D‚tails;;;;;;;;;;;;;;;;
Nombre de canaux analogiques;14;;;;;;;;;;;;;;;
Nombre de canaux num‚riques;1;;;;;;;;;;;;;;;
Nombre total de canaux utilis‚s;15;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Heure d?armement;12/03/2024 11:51;;;;;;;;;;;;;;;
Heure de d‚sarmement;12/03/2024 12:11;;;;;;;;;;;;;;;
Dur‚e;00:20:01;;;;;;;;;;;;;;;
Job Description;Nom de la configura;;;;;;;;;;;;;;;
Info de canaux;;;;;;;;;;;;;;;;
Description;;V1 (V);V2 (V);Tc ('C);Mano14.1 (V) (V);Mano14.2 (V) (V);Mano1 200 (V) (V);Tension 0 (V);Tension 1 (V);Tension 2 (V);Ref. Junction 1 ('C);Voie +-1000 (Pa);Voie +-250 (Pa);Voie +-200 (Pa);Venturi (ms-1);Pulse Channel 1 (Hz)
Interv. mesure;;00:00:01;00:00:01;00:00:01;00:00:01;00:00:01;00:00:01;00:00:01;00:00:01;00:00:01;Non enregistr‚;00:00:01;00:00:01;00:00:01;00:00:01;00:00:01
Intervalle;;00:00:01;00:00:01;00:00:01;00:00:01;00:00:01;00:00:01;00:00:01;00:00:01;00:00:01;Non enregistr‚;00:00:01;00:00:01;00:00:01;00:00:01;00:00:01
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Date/Heure;Type;V1 (V);V2 (V);Tc ('C);Mano14.1 (V) (V);Mano14.2 (V) (V);Mano1 200 (V) (V);Tension 0 (V);Tension 1 (V);Tension 2 (V);;Voie +-1000 (Pa);Voie +-250 (Pa);Voie +-200 (Pa);Venturi (ms-1);Pulse Channel 1 (Hz)
03/12/2024 11:51;Intervalle;0.0018;0;17.9;5.008;5.009;5.018;0.0007;-0.0001;0.0124;;-0.0058;-0.0253;-0.016;Invalid;Dummy
03/12/2024 11:51;Intervalle;0.0018;0;17.9;5.008;5.009;5.018;0.0006;-0.0001;0;;0.0124;-0.0253;-0.0186;0;0
03/12/2024 11:51;Intervalle;0.0019;0;17.9;5.008;5.01;5.015;0.0005;-0.0001;0;;-0.0032;-0.0222;-0.1183;0;0
03/12/2024 11:51;Intervalle;0.0019;0;17.9;5.008;5.01;5.018;0.0005;-0.0002;Invalid;;-0.0006;-0.0235;-0.0191;Invalid;0
03/12/2024 11:51;Intervalle;0.0018;0;17.9;5.008;5.009;5.018;0.0005;-0.0002;Invalid;;-0.0058;-0.0253;-0.0181;Invalid;0
03/12/2024 11:51;Intervalle;0.0019;0;17.9;5.008;5.01;5.015;0.0003;-0.0002;Invalid;;-0.0006;-0.0235;-0.1194;Invalid;0
03/12/2024 11:51;Intervalle;0.0019;0;17.9;5.008;5.01;5.018;0.0006;0.0004;Invalid;;0.002;-0.0222;-0.0186;Invalid;0
03/12/2024 11:51;Intervalle;0.0018;0;17.9;5.008;5.01;5.018;0.0005;-0.0001;Invalid;;0.015;-0.0235;-0.0155;Invalid;0
03/12/2024 11:51;Intervalle;0.0019;0;17.9;5.008;5.01;5.018;0.0005;-0.0002;Invalid;;-0.0032;-0.0222;-0.0175;Invalid;0
