D‚tails d?enregistreur :;;;;;;;;;;;;;;
Type d'enregistreur;1F8;;;;;;;;;;;;;
Num‚ro de s‚rie;KS1512003;;;;;;;;;;;;;
firmware du Contr“leur;5.1;;;;;;;;;;;;;
firmware d'acquisition;5.1;;;;;;;;;;;;;
Identit‚ de l?enregistreur;Identit‚ de l?enreg;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Job D‚tails;;;;;;;;;;;;;;
Nombre de canaux analogiques;10;;;;;;;;;;;;;
Nombre de canaux num‚riques;1;;;;;;;;;;;;;
Nombre total de canaux utilis‚s;11;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Heure d?armement;08/09/2023 09:41;;;;;;;;;;;;;
Heure de d‚sarmement;08/09/2023 10:59;;;;;;;;;;;;;
Dur‚e;01:18:11;;;;;;;;;;;;;
Job Description;Nom de la configura;;;;;;;;;;;;;
Info de canaux;;;;;;;;;;;;;;
Description;;V1 (V);Tc ('C);Mano13.1 (V) (V);Mano13.2 (V) (V);Mano1 200 (V) (V);Tension (V);Voie 1000 (Pa);Voie 200 (Pa);;V ManoRec 200 (m_s-1);Pulse Channel 1 (Hz);;V1 (V)
Interv. mesure;;00:00:01;00:00:01;00:00:01;00:00:01;00:00:01;00:00:01;00:00:01;00:00:01;;00:00:01;00:00:01;;00:00:01
Intervalle;;00:00:01;00:00:01;00:00:01;00:00:01;00:00:01;00:00:01;00:00:01;00:00:01;;00:00:01;00:00:01;;00:00:01
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Date/Heure;Type;V1 (V);Tc ('C);Mano13.1 (V) (V);Mano13.2 (V) (V);Mano1 200 (V) (V);Tension (V);Voie 1000 (Pa);Voie 200 (Pa);;V ManoRec 200 (m_s-1);Pulse Channel 1 (Hz);;V1 (V)
09/08/2023 09:41:52;Intervalle;H24a;21.1;4.995;5.003;5.017;0.005;-0.283;-0.029;Mac H24a;Mac H24a;Dummy;;H24a
09/08/2023 09:41:53;Intervalle;0.0020;21.2;4.995;5.003;5.017;0.005;-0.290;-0.029;Invalid;Invalid;0.0;;0.0020
09/08/2023 09:41:54;Intervalle;0.0020;21.2;4.995;5.003;5.017;0.005;-0.288;-0.026;Invalid;Invalid;0.0;;0.0020
09/08/2023 09:41:55;Intervalle;0.0020;21.2;4.995;5.003;5.017;0.005;-0.270;-0.027;Invalid;Invalid;0.0;;0.0020
09/08/2023 09:41:56;Intervalle;0.0020;21.2;4.995;5.003;5.017;0.005;-0.288;-0.027;Invalid;Invalid;0.0;;0.0020
09/08/2023 09:41:57;Intervalle;0.0020;21.1;4.995;5.003;5.017;0.006;-0.290;-0.029;Invalid;Invalid;0.0;;0.0020
09/08/2023 09:41:58;Intervalle;0.0020;21.2;4.995;5.003;5.017;0.006;-0.277;-0.029;Invalid;Invalid;0.0;;0.0020
09/08/2023 09:41:59;Intervalle;0.0020;21.1;4.995;5.003;5.017;0.006;-0.283;-0.030;Invalid;Invalid;0.0;;0.0020
09/08/2023 09:42:00;Intervalle;0.0020;21.2;4.995;5.003;5.017;0.006;-0.272;-0.030;Invalid;Invalid;0.0;;0.0020
09/08/2023 09:42:01;Intervalle;0.0020;21.1;4.995;5.003;5.017;0.005;-0.283;-0.027;Invalid;Invalid;0.0;;0.0020
09/08/2023 09:42:02;Intervalle;0.0020;21.2;4.995;5.003;5.017;0.005;-0.280;-0.029;Invalid;Invalid;0.0;;0.0020
09/08/2023 09:42:03;Intervalle;0.0020;21.1;4.995;5.003;5.017;0.006;-0.285;-0.028;Invalid;Invalid;0.0;;0.0020
